GROUP,PACKAGE,CLASS,TEST_CASES,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commission,org.example,MonthSales,100,36,137,2,2,5,37,2,13,0,13
Commission,org.example,MonthSales,30,36,137,2,2,5,37,2,13,0,13
Commission,org.example,MonthSales,60,36,137,2,2,5,37,2,13,0,13
NextDate,org.example,DateCalculator,100,117,74,22,5,29,18,13,5,0,3
NextDate,org.example,DateCalculator,30,138,53,25,2,34,13,15,3,0,3
NextDate,org.example,DateCalculator,60,117,74,22,5,29,18,13,5,0,3
Triangle,org.example,TriangleDeterminer,100,0,94,0,26,0,34,0,16,0,3
Triangle,org.example,TriangleDeterminer,30,9,85,3,23,3,31,2,14,0,3
Triangle,org.example,TriangleDeterminer,60,0,94,0,26,0,34,0,16,0,3
