GROUP,PACKAGE,CLASS,TEST_CASES,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Triangle,org.example,TriangleDeterminer,10,11,83,4,22,4,30,3,13,0,3
Triangle,org.example,TriangleDeterminer,20,5,89,3,23,3,31,3,13,0,3
Triangle,org.example,TriangleDeterminer,30,6,88,3,23,3,31,3,13,0,3
Triangle,org.example,TriangleDeterminer,40,2,92,1,25,1,33,1,15,0,3
Triangle,org.example,TriangleDeterminer,50,2,92,1,25,1,33,1,15,0,3
Triangle,org.example,TriangleDeterminer,60,2,92,1,25,1,33,1,15,0,3
Triangle,org.example,TriangleDeterminer,100,0,94,0,26,0,34,0,16,0,3
Triangle,org.example,TriangleDeterminer,16,0,94,0,26,0,34,0,16,0,3
